source_id,original,normalized,confidence,occurrences,note
XP-T-008,同门曰朋同,同门曰朋,high,1,朱熹注引文
XP-T-008,同道违约,同道曰友,high,1,朱熹注引文
XP-T-008,粪土之墙不可污,粪土之墙不可杇,high,1,《论语》宰予章
XP-T-008,叫pic AP artist,叫Pickup Artist,high,1,PUA原称
XP-T-008,简称pu v,简称PUA,high,1,缩写统一
XP-T-008,poa,PUA,high,9,PUA误转写统一
XP-T-008,pua,PUA,high,6,PUA大小写统一
XP-T-008,你的阴谋和我的阴谋就是不一样的阴谋，但是我们通常管它叫阴谋没有用,你的emo和我的emo就是不一样的emo，但是我们通常管它叫emo，没有用,high,1,emo误转写
XP-T-008,一某,emo,high,6,网络语转写
XP-T-008,顾吉,顾及,high,1,《破圈》作者名
XP-T-008,呈现的字物,呈现的自我,high,1,术语转写
XP-T-008,阿德洛,阿德勒,high,1,人名
XP-T-008,的农场悟道,的龙场悟道,high,1,史实
XP-T-008,这个地方农场,这个地方龙场,high,1,史实
XP-T-008,被贬折,被贬谪,high,1,文言
XP-T-008,地无三三里，平天无三日，晴地无三分。阴,地无三里平，天无三日晴，地无三分银,high,1,贵州谚语
XP-T-008,斯蒂文科维,史蒂芬·柯维,high,1,人名
XP-T-008,习得性无主,习得性无助,high,1,术语
XP-T-008,增加，不是不是,增加不适,high,1,金句术语
XP-T-008,增加不是,增加不适,high,3,金句术语
XP-T-008,添加不是,添加不适,high,1,金句术语
XP-T-008,你的积极去,你的积极区,high,1,术语
XP-T-008,反本，能做动作,反本能，能做动作,high,1,术语
XP-T-008,画屏,画饼,high,1,固定表达
XP-T-008,现代人叫做诗语,现代人叫做失语,high,1,术语
XP-T-008,狂轰乱炸,狂轰滥炸,high,1,成语
XP-T-008,低，能您去看一看,低能。你去看一看,high,1,断句
XP-T-008,就具样具象了一些,就更具象了一些,medium,1,口语转写
XP-T-008,获得动见,获得洞见,high,1,术语
XP-T-008,营绕心中,萦绕心中,high,1,成语
XP-T-008,电来个五五次,再来个五次,medium,1,口语转写
XP-T-008,嘎成几段儿,咔成几段儿,medium,1,口语转写
XP-T-008,个人的事例,个人的试炼,high,1,术语
XP-T-008,要oin啊,要all in啊,high,1,英文
XP-T-008,持续的时间,持续的实践,high,6,术语统一
XP-T-008,记忆题,记忆体,high,4,术语统一
XP-T-008,信念题,信念体,high,5,术语统一
XP-T-008,情绪题,情绪体,high,2,术语统一
XP-T-008,讲了三题,讲了三体,high,1,术语统一
XP-T-008,通过三题,通过三体,high,1,术语统一
XP-T-008,说，这个力啊,说，这个立啊,high,1,三十而立
XP-T-008,去做情力管情绪管理,去做情绪管理,medium,1,转写
XP-T-008,他人及地狱,他人即地狱,high,1,萨特名言
XP-T-008,一念转静,一念转境,high,2,固定表达
XP-T-008,魔憎了,魔怔了,high,1,口语
XP-T-008,伤病局,伤病区,high,1,术语统一
XP-T-008,积极需,积极区,high,1,术语统一
XP-T-008,做功曲,做功区,high,1,术语统一
XP-T-008,伤病去,伤病区,high,3,术语统一
XP-T-008,非常I啊,非常哀啊,high,1,断句
XP-T-008,报轻了，报重了,抱轻了，抱重了,high,1,语境
XP-T-008,预值,阈值,high,1,术语
XP-T-008,小川,小船,high,6,助教名统一
XP-T-008,我说小陈对不起,我说小船对不起,high,1,助教名统一
XP-T-008,我说小陈你喝不,我说小船你喝不,high,1,助教名统一
XP-T-008,我说小帅肯定你太渴,我说小船肯定你太渴,high,1,助教名统一
XP-T-008,小传老师,小船老师,high,1,助教名统一
XP-T-008,遭遇双击,遭遇双减,high,1,政策术语
XP-T-008,遭遇双节,遭遇双减,high,1,政策术语
XP-T-008,双检,双减,high,1,政策术语
XP-T-008,核不识肉迷,何不食肉糜,high,1,典故
XP-T-008,乌烟儿气,乌烟瘴气,high,1,成语
XP-T-008,出头靴子先烂,出头的椽子先烂,high,1,谚语
XP-T-008,就怕万110000的概率,就怕万一，1/10000的概率,medium,1,数字转写
XP-T-008,叫迷音了,叫迷因了,high,1,meme译名
XP-T-008,衣不扣门挂不空出,医不叩门，卦不空出,medium,1,俗语
XP-T-008,之前试讲的内容,之前四讲的内容,high,1,课程结构
XP-T-008,情绪内行,情绪内耗,high,3,术语
XP-T-008,二男选择,二难选择,high,1,术语
XP-T-008,他命命好,他命好,medium,1,口语
XP-T-008,k pi o kr,KPI、OKR,high,1,缩写
XP-T-008,grow模型,GROW模型,high,2,模型名
XP-T-008,g是什么目标,G是什么目标,high,1,字母
XP-T-008,r是什么现状,R是什么现状,high,1,字母
XP-T-008,o是什么？,O是什么？,high,1,字母
XP-T-008,w是what's,W是what's,high,1,字母
XP-T-008,smart,SMART,high,18,缩写统一
XP-T-008,如无必要物增食体,如无必要，勿增实体,high,1,奥卡姆剃刀
XP-T-008,如无必要物增实体,如无必要，勿增实体,high,1,奥卡姆剃刀
XP-T-008,如无必要物证实体,如无必要，勿增实体,high,1,奥卡姆剃刀
XP-T-008,如无必要物证试题,如无必要，勿增实体,high,1,奥卡姆剃刀
XP-T-008,奥卡姆提刀,奥卡姆剃刀,high,1,术语统一
XP-T-008,奥卡姆提岛,奥卡姆剃刀,high,1,术语统一
XP-T-008,奥卡姆提到,奥卡姆剃刀,high,2,术语统一
XP-T-008,怒怒症,路怒症,high,1,术语
XP-T-008,同秀位,铜臭味,high,1,口语转写
XP-T-008,互上一个周期,上一个周期,high,1,口语转写
XP-T-008,一个木的后面,一个幕的后面,high,1,无知之幕
XP-T-008,无知之木,无知之幕,high,1,术语
XP-T-008,维特跟斯坦,维特根斯坦,high,1,人名
XP-T-008,有林的,友邻的,high,1,品牌名
XP-T-008,有灵的,友邻的,high,2,品牌名
XP-T-008,情绪共。,情绪共舞。,high,1,断句
XP-T-008,滚单,关单,high,2,销售术语
XP-T-008,1定要,一定要,high,1,数字转写
XP-T-008,单向力,单向历,high,5,产品名
XP-T-008,lion a,李欧娜,high,1,学员名统一
XP-T-008,刘娜,李欧娜,high,2,学员名统一
XP-T-008,luna同学,李欧娜同学,high,1,学员名统一
XP-T-008,是不是升值,是不是升职,high,1,职场术语
XP-T-008,同柴呀,同侪,high,1,术语
XP-T-008,铜柴呀,同侪,high,1,术语
XP-T-008,同柴啊,同侪啊,high,1,术语
XP-T-008,化学分析,话语分析,high,1,术语统一
XP-T-008,喧嚣情绪,宣泄情绪,high,1,术语
XP-T-008,裴宝银,陪跑营,high,2,产品名
XP-T-008,裴宝仪,陪跑营,high,1,产品名
XP-T-008,领导队,领导对,high,1,断句
XP-T-008,甲最关键,假最关键,high,1,「假设」用字
XP-T-007,我们现在中国处于什么叫社会主义初级阶段，并将长期。既处于社会主义初级阶段,我们现在中国处于社会主义初级阶段，并将长期处于社会主义初级阶段,high,1,政治表述转写
XP-T-007,战略学者的时候���多是外向性的抉择,战略选择的时候，多是外向性的抉择,medium,1,乱码复原
XP-T-007,领导���待是什么,领导期待是什么,high,1,乱码复原
XP-T-007,管理形��之前,管理形式之前,medium,1,乱码复原
XP-T-007,比如说有利游客啊,比如说友邻课啊,high,1,品牌名
XP-T-007,我们有利用课使命愿景价值观,我们友邻课使命愿景价值观,high,1,品牌名
XP-T-007,到友林工作,到友邻工作,high,1,品牌名
XP-T-007,极简管理课的八件,极简管理课的八讲,high,1,课程结构
XP-T-007,基建管理课的第五讲,极简管理课的第五讲,high,1,课程名转写
XP-T-007,几讲管理学的第八讲,极简管理学的第八讲,high,1,课程名转写
XP-T-007,当时自杰这个o kr在推的时候,当时字节这个OKR在推的时候,high,1,公司名
XP-T-007,的CEO皮查他呢,的CEO皮查伊呢,high,1,人名
XP-T-007,菜所性的一些失败,探索性的一些失败,high,1,术语
XP-T-007,探心不熟,半生不熟,high,1,成语
XP-T-007,小巨大,小聚大,high,5,术语统一（大拆小小聚大）
XP-T-007,全变理论,权变理论,high,1,术语
XP-T-007,焊工剃刀,汉龙剃刀,high,1,术语统一
XP-T-007,汉龙提刀,汉龙剃刀,high,1,术语统一
XP-T-007,什么叫奥卡姆，提到,什么叫奥卡姆剃刀,high,1,术语断句
XP-T-007,如无必要物争实体,如无必要，勿增实体,high,1,奥卡姆剃刀
XP-T-007,如无必要物增实体,如无必要，勿增实体,high,1,奥卡姆剃刀
XP-T-007,不愤不启，不绯不发,不愤不启，不悱不发,high,1,《论语》引文
XP-T-007,流言绯语,流言蜚语,high,1,成语
XP-T-007,杀一敬百,杀一儆百,high,1,成语
XP-T-007,披漏,纰漏,high,1,术语
XP-T-007,立出一孔,利出一孔,high,1,术语统一
XP-T-007,行业里的首手,行业里的熟手,high,1,术语
XP-T-007,妙小这个妖风大潜池王八多,庙小妖风大、池浅王八多,medium,1,谚语
XP-T-007,五脸见江东父老,无脸见江东父老,high,1,习语
XP-T-007,辞职逼供,辞职逼宫,high,1,习语
XP-T-007,保荐因素,保健因素,high,2,双因素术语
XP-T-007,密心制,密薪制,high,2,术语统一
XP-T-007,与其匠心,与其降薪,high,1,术语
XP-T-007,主资说,组织说,high,1,术语
XP-T-007,对右，,对呀，,high,2,语气词转写
XP-T-007,11点儿,一点儿,high,4,口语转写
XP-T-007,第21定要保持沟通,第二，一定要保持沟通,high,1,序号转写
XP-T-007,OK 1定要,OK，一定要,high,1,断句
XP-T-007,1到1个新的团队,一到一个新的团队,high,1,数字转写
XP-T-007,0到10到十分儿,0到10打分,medium,1,口语转写
XP-T-007,k pi o kr,KPI、OKR,high,1,缩写统一
XP-T-007,OK 21旦,OKR一旦,high,1,缩写统一
XP-T-007,提一点OK 2呢,提一点，OKR呢,high,1,缩写统一
XP-T-007,没问题啊OK 2呢,没问题啊，OKR呢,high,1,缩写统一
XP-T-007,模型啊swot稍微讲一下吧swots代表优势w weakness代表弱势,模型啊，SWOT稍微讲一下吧：S代表优势，W（weakness）代表弱势,high,1,字母与断句
XP-T-007,不管是kp还是OK 2啊,不管是KPI还是OKR啊,high,1,缩写统一
XP-T-007,用v kr也好,用OKR也好,high,1,缩写统一
XP-T-007,o kr,OKR,high,54,缩写统一
XP-T-007,swot,SWOT,high,2,缩写统一
XP-T-007,叫jd对吧,叫JD对吧,high,1,缩写统一
XP-T-007,做tob生意,做ToB生意,high,1,术语
XP-T-007,这种toc的销售,这种ToC的销售,high,1,术语
XP-T-007,sop,SOP,high,13,缩写统一
XP-T-007,符合司马尔的原则,符合SMART的原则,high,1,音译统一
XP-T-007,smart,SMART,high,39,缩写统一
XP-T-007,s1,S1,high,7,编号统一
XP-T-007,s2,S2,high,14,编号统一
XP-T-007,s3,S3,high,5,编号统一
XP-T-007,s4,S4,high,9,编号统一
XP-T-007,更不用规则啊,更不用归责啊,high,1,归责转写
XP-T-007,不要去规则啊,不要去归责啊,high,1,归责转写
XP-T-007,你这一规则,你这一归责,high,1,归责转写
XP-T-007,我们没有规则，,我们没有归责，,high,1,归责转写
XP-T-007,复盘不是为了规则。,复盘不是为了归责。,high,1,归责转写
XP-T-007,不要动不动就去规则第二,不要动不动就去归责第二,high,1,归责转写
