[XP-T-006#P001] 第一课：职场沟通的本质
[XP-T-006#P013] 我们在这里把有效沟通的三个原则确立好：坦诚，对自己的坦诚、对别人的坦诚；利他，我们要满足别人的需求，才能产生沟通的效果；第三，我们在想沟通什么、怎么沟通和最后推进的时候，一定要简单、清晰、直接。这就是职场有效沟通最关键的三个原则。后续课程我们会围绕坦诚、利他、清晰去展开，同时还会看如何面对拒绝、沟通当中自己的情绪怎么把控，然后分类讨论与领导怎么沟通、与下属怎么沟通、与平级怎么沟通、与客户怎么沟通，以及最后的彩蛋部分——沟通高手的性格修炼。这些后面都是偏"术"的部分，但前面"道"的部分——是什么、为什么、原则是什么——希望大家把这种思考方法掌握下来，这对大家未来处理职场各种各样的问题都会有巨大的帮助。
[XP-T-006#P014] 第二课：坦诚——沟通前的准备
[XP-T-006#P015] 我们先复习一下：职场沟通要先建立一个解决问题的基本方法论，就是不要先去问怎么解决问题，而是要先问它是什么、为什么以及原则是什么。解决的原则是坦诚、利他和清晰，因为坦诚能够减少误解，利他能够构建信任，清晰能够产生结果；职场沟通的目的就是让工作结果达成以及高效达成。今天第二课讨论坦诚是什么、作用是什么。坦诚其实是我们沟通前的准备。每一次沟通最怕有一种情况叫做毫无准备的沟通，毫无准备的沟通效率是最低的，打仗的时候我们经常说这叫遭遇战：你完全没准备，聊着聊着话题就不知道聊到哪儿了。我特别怕一种情况，就是领导找你说"你正好有空，过来一下，我找你有个事儿"，你会被打个措手不及。所以你自己做领导的时候，也别这么跟员工约时间。我们一定要把沟通建立在大家都有所准备的基础之上，沟通效率就会越来越高。同样，如果你要沟通的事情重要性非常高，建议你的准备时间一定要足够充分：准备得越充分，达成结果的可能性也就越大。
[XP-T-006#P016] 为什么说沟通前的准备是坦诚？很多时候我们知道明天有个非常重要的事儿要跟老板汇报，大家想的是我要汇报什么、怎么汇报、内容怎么安排——最应该准备的是坦诚这件事儿，因为坦诚能够减少误解。怎么做到坦诚？讲三个非常重要的问题。第一个问题：你要弄明白我需要什么？在职场当中、职业规划当中、谈判当中、生涯规划当中，你遇到的所有焦虑、彷徨、不知所措、低效率，都来自根本性的一个问题：你不知道你要什么。比如连线的时候经常问听众：你要换工作，要达到什么目的？他说我希望有发展。"发展"这个词就特别空。什么是发展？你多问一下就说不出来：我希望我的技能能提高——什么技能？我希望在职场上更有竞争力——什么是竞争力？禁不住问，因为不够具体。"我需要什么"这个答案，你自己去找的过程当中要符合SMART原则。SMART原则会在我们所有的职场课当中当成一个非常重要的原则来使用。
[XP-T-006#P017] 什么是SMART？S指代的是specific，就是你一定要具体。怎么做到具体？不断追问，尤其是面对"什么"的追问，面对名词和形容词的追问。人的语言是思想的边界，我们想不清楚的时候，总是拿一些不知道从哪儿看到的名词或者形容词一以概之。你想要什么？"我想发展"——发展就是个名词，你对发展的理解和我对发展的理解不一定一致。你跟领导讲我要发展，领导是懵的，因为领导不知道你所谓的发展是什么；但相比换一个人说"我要升职"——这是个动词，就容易多了、具体多了。领导可以具体再问你升多高：我现在是个经理，我希望能到高级经理。所以对于名词要追问，对于形容词要追问："我希望把这个工作做好"——什么叫做好？"我希望能得到充分的支持"——什么叫充分？"我希望能给到足够的授权"——什么是足够？不断地问自己，把自己要什么问清楚，连续地追问。
[XP-T-006#P018] 第二点是M，叫measurable，可测量的：学会用数字去描述问题。举个例子："老板，我需要涨薪"就比"我要发展"强多了，因为涨是个动词。我需要涨，涨多少？我希望涨30%。为什么需要涨30%？因为我工作已经三年了，市场上同样的岗位差不多做到同样情况，有20%—40%左右的涨幅，我取一个中间数，希望涨30%。数字就能够测量，老板就跟你商量：涨20%行不行？你说不行，30%；那咱二一添作五，25%行不行？任何沟通一个很经典的场景在菜市场：你这菜多少钱？五毛一斤。太贵了——注意，"太贵了"是个形容词，不具体。人家说那你说多少？三毛——你看，具体。你不能光一直用名词或者形容词造概念，别人不知道到底怎么样进一步跟你讨论问题。所以要学会用数字去描述你想要什么。
[XP-T-006#P019] 第三个A叫attainable，可达到的，不是遥不可及的。"老板，我需要明天升职，从经理到高级经理"——明天这个时间段太短了，不可达到；"我想挣100万"，结果发现自己现在年薪只有两万——不可达到。这个"达到"怎么匹配呢？外部案例或者过往案例。我们经常用这种方式讲一个思考方法，叫对标：你有一个benchmark，有个对标在那儿，它是可达到的。之前我跟同事讨论账号涨粉，他们说希望一个月涨30万。我说一个月涨30万，一天一万，你怎么觉得这是可达到的呢？他说我们反正叫高一点儿嘛、努力嘛、不行再说嘛。这种热情我们当然愿意，但你会发现，万一没达到，这个目标定完了对内心还是会有影响。我问过往数据一天涨多少，他说好的话能做到一万一，一般的话可能3千到5千。我说那好，我们通过一个月的工作，最高冲30万，但是达到五六万我们也可以接受——有个高目标，有个底线目标。至少知道五六万做起来肯定没问题："保五六万、冲30万"，这就能够清楚什么叫做"跳一跳脚能够得着"的目标。所以要学会通过对标——要么看过往案例，要么看外部案例——把它定下来。
[XP-T-006#P020] R这个东西叫做related，有相关性。这个相关性非常重要，它表示这个目标定完了，跟我要去沟通的那个人之间有没有相关性。如果没相关性，那是你的目标，跟我没关系，你跟我说干啥？比如给下面人派目标：这个事儿你要在什么时间做到什么位置——他说我做到了，然后呢？相关性就不够。但我们给你定下来"你就能拿多少奖金"，一下目标就扣上了。所以一定要有对于他人的相关性。第二，跟大目标的相关性。小目标用SMART原则定好了以后，我们经常要问"那做到了以后呢？"你要多想这一步，才能确保你做到的战术正确是为战略服务的。比如"我希望职场发展能够财务自由"——这是个名词，不断追问：财务自由多少钱？一百万。一百万是数字能测量；那相关性：你做到这100万，然后呢？他说有了这100万可能就能买房——你会发现它有一个高于100万的一个更大的目标，就是买房。所以不仅要完成这100万，要把这100万跟另外的更大目标关联上，才能确保你做这件事儿的时候不会偏离方向。很多人说我挣100万，我说挣100万干嘛呢？没想好，就为了挣这100万——往往这100万有可能挣不到，即便挣到了也不会觉得怎么样。相反如果有了个大目标——挣了100万我要买房，看上了一个房，这个时候还没有100万，但他有挣这100万的能力，他就可以开始借钱去买这个房，先达到那个大目标，然后倒回来实现这个小目标，空间也就会更足一些。所以要具备相关性：一是跟这个目标相关的人有什么关联；二是有没有一个更大的目标在背后。
[XP-T-006#P021] 最后一个T，就是timeline，定上时间或者叫时间表。这个非常关键。人是时间的动物，没有时间的目标全是空谈。老板经常说"你就尽快给我"——老板，最晚什么时候？多问一句，一定把这个时间卡下来。平级部门协调总是说"今天下班前给我弄"，大家都手忙脚乱，那就是典型的在定目标沟通的过程当中前期前瞻性和时间表设计的不足，总是在做重要紧急或者不重要紧急的事儿，职场也就显得非常碎片。所以要把时间表列出来。因此"我需要什么"要回答的问题就是：它够不够具体，不要有抽象的名词和形容词；有没有数字可测量；是不是可以达到的，通过外部案例、过往案例进行对标分析；做这件事儿如果需要其他人参与，跟其他人有什么相关度；这个目标实现了以后，后面的更大的目标有没有相关度；最终把时间表确定下来——这才能够说"我需要什么"这个问题被回答清楚了。否则，思维上的懒惰、盲目、不自知的状态会给你带来各种各样情绪的内耗和焦虑。
[XP-T-006#P022] 沟通前的准备，坦诚地问自己：我需要什么？有些人就是不好意思——你要发展，追问下去就是我要赚钱，觉得赚钱不好意思说。有什么不好意思的？你对自己不坦诚，别人就有可能误解你。你说要发展，领导说发展，那我多给你点活儿干吧、让你多带带队伍吧，结果你就抱怨：我又多做了活儿、多带了队伍，怎么不给我涨钱呢？领导说你也没跟我说要涨钱啊——就会出现这样尴尬的局面。所以一定要对自己坦诚，没事儿坐下来就用SMART原则问自己一个问题：我需要什么？我特别推荐大家：只要有情绪焦虑的时候、不知道该怎么选择的时候、要写月度汇报的时候，都坐下来问这个问题，用SMART原则搞定它。如果你跟另外一个对象沟通，你不知道他需要什么的时候，同样要用SMART的追问方式，把他真实需要的东西以具体、可测量、可实现、有相关性和时间表的方式给它具体化，这样你才能够帮到他。所以坦诚的第一步就是要问清楚、回答清楚：我需要什么。
[XP-T-006#P023] 第二个问题：回答完"我需要什么"，你会发现需要的东西可能不是一个，可能是好几个。比如有人说我需要发展，问完了以后：我需要赚钱（按SMART说出来）；我需要自己的能力增加——具体什么能力的增加？考一个什么样的证书、多长时间拿到？还有一个，我需要照顾家庭——照顾谁？怎么算照顾好了？都问清楚了，这时候有三个目标，不行，要排序。因为没有人能够同时干好几件事儿。大家总觉得"我是multitask，我可以多任务并行，没问题"——你肯定干不好，千万不要对人大脑的运行机制产生错误的构想，我们需要聚焦。这里有几个原则：第一个叫二八原则，最关键的20%的事情产生了80%的（结果）。注意，我们一直在讲职场沟通的本质叫达成结果和高效达成结果，所以我们最需要沟通的东西内心要排序：鸡毛蒜皮、鸡零狗碎的就不要去沟通了，一方面占别人的心智，另外一方面扰乱我自己工作的节奏，我要抓那最关键的20%。假设一个人要发展：要涨薪、要能力、要照顾家里，哪个最重要？每个人的答案都不一样。假设问完了这个人做价值排序，排完说我认为钱现在对我来讲最关键——好，那去跟领导沟通的时候就谈钱的事儿，其他不说，其他的东西都可能是后续可以让步的事情：钱给到位了，能力我不要发展了，我就挣钱；孩子一周能陪一个周末就不错了，其他时间都得加班，OK，让步。但是如果你不给我钱，就是底线问题了。所以二八原则本质上就是在做排序，就是在做底线和让步之间的关系：底线就是那最核心的、不能动的；另外的部分随便你定，这叫让步。这叫做抓住矛盾的主要方面和主要矛盾，做事的节奏感就会变得特别好。所以先回答我需要什么（SMART原则理一遍），如果超过了两个以上的目标，再问自己一个问题：我最需要什么？排序能力是职场的重要能力，它也是谈判能力、沟通能力、设计能力。很多人在这件事情上经常出现的情况叫"既要、又要、还要"，总希望甘蔗两头甜。在这种情况下一定要学会做取舍：不会做取舍的人是没有发展的人。要回答"最"，那就只能有一个。没做到这一步，你前面的沟通就不具备坦诚的准备。
[XP-T-006#P024] 再来下一个问题：你确定好了你最需要什么之后，还要问自己：我真的需要吗？再教一个思维方式，叫奥卡姆剃刀：如无必要，勿增实体。很多我们认为我们需要的东西未必是我们真需要的。比如拿挣100万买房子这个事儿来说：你真的一定需要买这个房子吗？有没有其他的选择？说没房子我没法结婚——能不能不结婚？也不是不能，租房子也能结，好了，你会发现之前你所有的焦虑就被消除了。奥卡姆剃刀相当于是在"我最需要什么"这件事情上再上一个双保险：让自己非常明确地知道这个东西我真的需要，而且是经过反复论证的需要，把它说得很具体、很清晰，做到足够的坦诚。有些时候是不需要的，多问问自己；有些时候是别人告诉你"你需要的"——"我35岁、我在大厂，我真的需要换一换赛道了"，谁告诉你的？网上都这么说。网上说的一定适合你吗？他人的建议、外部的言论、传统的习俗，这些东西给你带来的是巨大的认知压力。并不是说这些说的不对，但这么多压力放在你面前，只会干扰你的情绪，让你在"我需要什么、我最需要什么"上拿不准。拿不准，你沟通啥？你的需求你讲不明白的。所以要问"我真的需要吗"，然后拿掉情绪。情绪这个东西是非常容易被消解的，它未必需要你去沟通。你想清楚我要什么、我最需要什么，很多焦虑就没有了。你在跟别人沟通的时候不代表没有情绪的立场：你很清楚这东西我一定要拿到，如果不给我，这是我的底线，那我有可能就不谈了，我用别的方式去获得这个东西——完全没有情绪的一种状态。因为情绪在沟通当中只会增加误解：大家原本在聊事儿，最后就开始聊立场，最后开始聊人品，最后开始翻旧账，这样没必要。所以用奥卡姆剃刀拿掉情绪，问自己：我真的需要吗？
[XP-T-006#P025] 最后给个彩蛋。大家说：我这么坦诚，如果在职场当中遇到了一帮老江湖，把我自己充分暴露了，讲得又清楚又具体，他会不会利用我、暗算我、给我挖坑？这种状态就是典型的"总有刁民想害朕"，并不是说这个思考不对，只是思考得不高明。我们在这里谈一个概念，叫做博弈论。我们坦诚的目的，一方面是为了减少误解，另一方面是为了释放善意来做验证。为什么说它是阳谋？你不坦诚，对方如果不坦诚，你是不清楚他为什么不坦诚的：很有可能是他觉得你不坦诚，以后认为我也没必要坦诚——他在重复你上一轮的策略。所以你不清楚是他本质上就不想坦诚，还是因为你先不坦诚他才不坦诚，这个定性判断直接造成后续沟通的障碍和误解。那我们为什么不先坦诚，释放"我是坦诚的"这个重要信息？如果我先释放了我是坦诚的重要信息，对方不坦诚，证明什么？他就是一个不坦诚的人。那我在跟他沟通的时候，一方面用SMART原则尝试，如果还是不行，这个人我就不沟通了。回归本质：职场沟通是有目的的，这个目的非常简单，叫高效达成结果。跟一个特别不坦诚的、天天很阴暗的、精致的利己主义者，我不需要跟你沟通，因为绕开你我照样能解决问题。再退一万步，大不了不在这家公司干了：此处不留爷，自有留爷处，我换别的地方照样可以干好。所以博弈论才是阳谋。博弈论的最优策略是什么？多轮次博弈当中，第一轮释放善意，第二轮模仿对方前一轮（策略）。第一轮上去："我是个好人，别开枪。"对方咣当开一枪，你掏着枪还一枪——这个就叫做释放善意、模仿对方前一轮策略。对方没开枪，那我继续跟他好好谈，我模仿他上一轮的策略就好了，但是我首先主动先去释放善意，这个叫做多轮次博弈当中的最优选择。当然还有一种选择，如果你家底很厚、本事很大、也很自信：第一轮释放善意，不管对方什么反应，第二轮持续释放一次善意，确保信息通畅，然后第三轮开始模仿对方前一轮策略，也OK。所以博弈论的最优选择叫做（模仿对方）前一轮策略，这也是为什么谈判时候别人先出价、你跟着后续是最优策略。为什么说要先释放善意？职场上咱们沟通可以主动一些，因为主动意味着会有机会，但机会肯定会有风险：我释放善意以后挨一嘴巴怎么办？没关系，我认了，因为下一把我就模仿你上一把的策略就好。因此给这些"大聪明们"送一句话：你别总觉得职场"总有刁民想害朕"。你没有释放善意，大家对你一定是提防的；你释放了善意，反而你能看出来谁是那个大聪明，以后咱们不跟他玩儿就行了，这样反而能够提高我们沟通的效果。总结一下沟通前的准备：主要是坦诚，对自己的坦诚，问三个问题：一，我需要什么？用SMART原则追问自己。二，我最需要什么？做排序，抓住关键，在底线和让步之间做出权衡，别既要又要还要。三，我真的需要吗？如无必要，勿增实体，奥卡姆剃刀拿掉情绪、拿掉不必要的东西。然后记住：坦诚也好、真诚也好，不害怕，它是真正通往解决一切的路径，因为我们采用的是博弈论当中的最优策略。
[XP-T-006#P026] 第三课：利他
[XP-T-006#P027] 复习一下之前讲的大原则：沟通的过程当中首先对自己坦诚——要知道自己想要什么、最想要什么、我真的想要吗？确定好坦诚。第二点就是利他：你要站在别人的角度上。利他是你能够让自己的需求被别人听到的前提，就是你先要了解别人的需求，然后你的需求和他的需求形成一套交换。第三就是讲话要清晰。今天这一讲我们讲利他。大家一听到利他，有人说这就是道德绑架，我就不利他、我就利己行不行？利他和利己一点儿不冲突：你可以说利己是目的，但是利他是手段。你千万不要把利己既当成目的又当成手段，这是非常愚蠢的，因为天下没有谁是傻瓜，大家都利己就不可能产生合作；只有利他才能够产生合作，而合作说到底最后都会产生利己的结果。所以利己是目的、利他是手段，千万不要去否定利他作为手段的价值。第二点，利他是绕不过去的手段：你的需求，人家为什么一定要满足你？你说我给他钱，他说我不缺钱；你说我给他名，他说我不缺名；但恰好你需要他帮你把这个活儿干了，这时候你怎么调动他？你会发现你还是得考虑他的需求。大家一定记住沟通的本质：一是澄清需求，二是形成交易。交易是什么？交易是你的需求和他的需求换一换，这个很关键，你总不能让地球总是围绕着你转。之前连线的时候有个话题：一位女士在一个部门做领导，想让上级给她下面加一个人，她说这个工作我现在做不完，加了人这个工作能怎么怎么开展。我说那你跟领导讲，领导为什么一定要给你加人呢？其实我就是在启发她：领导有什么需求？如果你不知道领导有什么需求，光去讲你的需求，跟领导一毛钱关系没有。所以沟通利他，就是要把别人的需求拿在手里：你能满足别人的需求的时候，你把你的需求放出来，大家就可以去进行交易了。
[XP-T-006#P028] 来看第一次沟通提问的技巧。每一次跟别人沟通的时候，一定要注重提问的技巧。如果你发现有一次沟通当中别人问的很多、你都在答——注意，你遇上沟通的高手了。不管他是上级、下级还是你的客户，他在提问、你在回答，多半情况下你遇到沟通高手了，因为他在捕捉你的需求，捕捉完你的需求他跟你就开始进行需求置换了。所以我们就要向高手学习。但有的时候你遇到个低手，他就一直在讲他要什么；如果他也并非是资源方，我们不是特别迫切地想满足他的需求，没有什么需求让他满足，这个合作是没办法做下来的。所以要学会提问，提问的技巧非常重要。提问的技巧以利他为原则，就是回答一个问题：他需要什么？把他的需求给我抓出来，不断地利用提问、不断地利用交流抓他的需求。沟通不是建立感情，朋友们，建立感情只是手段，目的是：他需要啥？我把它挖出来。那他的需求是什么呢？如果他说"我需求是发展"，仍然你帮他实现不了，因为这个语言太抽象了，因此还是要调动我们上节课提的SMART原则：S是specific具体，尽可能地不断追问，避免抽象的名词和形容词；M是measurable可测量，多用数字把抽象词标定出来；A是attainable可达到，通过外部案例、历史案例来对标，说明这个目标或者数字是合理的、是可以做的；R是related相关性，跟这个目标相关方的其他人的相关性，以及目标实现以后它背后的更大目标之间的相关性；T就是最终一定要形成时间表。所以你在问他需要什么的时候，就要围绕SMART原则在脑海里面不断地组织这样的问题来抓住重点。
[XP-T-006#P029] 今天给大家列一些问题，如果你真的还不知道该怎么用，拿这些问题平常先去演练。第一个问题，面对领导的时候你可以说："领导，最近有什么需要我重点关注的工作？"咱们经常跟领导汇报完了以后说好、那就这样，转身就走了。到最后收尾的时候你都可以问这个问题。注意这个问题实际是埋了SMART原则在里面了：第一个"最近"是不是有时间？"最近您需要我关注一下用户的增长？"那我就可以进一步去问：比如最近一个月，您期待大概涨多少人？——时间也拎上去了；measurable可测量，我再问他具体的数字；然后问他什么类型的用户您觉得是比较关键的。你会发现我会把"重点关注""关键"这些词挂在嘴边，干嘛？不断地利用SMART原则把他的需求标定清楚。你可以跟领导每次谈完最后说："好，领导我听明白了，基本没问题。我还有个小问题：最近您觉得需要我重点关注的工作有什么？"让他再帮你排排序，你马上这个生产的效能就提升起来了。这句话牢记于心，好问题。面对客户、面对合作伙伴我们也可以这么问，比如说："今年你们的工作计划是什么？"你可以问一问，当然可以把时间维度再降一降，比如这个季度你们有什么样的工作计划？这半年你们有什么样的工作计划？问别人的工作计划，其实是在问他的目标、问他的手段，也可以按SMART原则把它拎出来、抓住他的需求。比如跟客户合作伙伴问："你们今年大概的重点战略工作计划是什么？"他说我们还是希望能跟各位供应商更好地去交流，把质量拉上去、把成本降下来。你可以去问：具体这个工作计划目标是什么？接着再问有什么具体的指标——这符合SMART的M，把数字标定下来；再问困难是什么（一会儿我们来讲）；然后跟随性地说"有什么我们能一起做的呀"，把相关性拉进去。用这样的一些方式你都可以去抓别人的需求：你们打算怎么做呀？问一问方法、问一问步骤。前面的这些提问的方法都叫做直接法：你直接问，只不过你要围绕着他的需求问——你的需求是什么？你最近有什么样的变化？你们最近有什么样的打算？我们能参与些什么？
[XP-T-006#P030] 第二类提问叫做询问建议法：不是给他一个开放性的问题，而是你抛出你的一个想法，然后问他的意见。这个跟领导经常在汇报的时候可以用：我的想法是最近还是需要去关注一下我们的产品质量，就是几个方面可能比较关键，领导您觉得我这个想的对不对？问他的建议的过程，他其实不仅在给你反馈，其实是他在表达他的需求。比如领导说："对，产品质量毋庸置疑，但是我们更应该关注的一件事情是用户层面上对我们的评价，不是我们自己内部去评这个产品质量怎么样。"你看，需求表达出来了。大家一定记住：不要把领导的信息当信息，不要把领导的话当指令，你要把领导的话当需求，这个很关键，你要去深挖他的需求。马上我从刚才的话里判断出来：这个领导考虑的是质量很关键，但我们需要的是用户给我们的评价——他的需求很简单，我要知道用户怎么评价我们的产品，从而让我们的产品根据用户的建议不断提升。好，我回去按照这个方向开始干。所以就是"我的想法+您的建议"：想法只是抛砖引玉，关键是要他的反馈。领导说"很好，你这个想法特别好，尤其是哪一点"——那也是他的需求。领导的任何话语，本质上我们都要挖掘出来他是需求，不是信息、不是指令，这是询问建议法。
