[XP-T-004#P001] 职业规划
[XP-T-004#P032] 而追逐所谓的世俗的，标准性的成功特别高，那你就找不到你擅长的事情，因为大学毕业之后，我们就不再做单项选择题了，我们就要去做复杂的，混沌的工作了，所以你可以问自己。我做过哪些有成就感的事儿？这是对于过去的一个反思。成就感的事儿，不论大小，你做完你觉得有意义，有价值的就行。第二个问题，
[XP-T-004#P033] 你晚上平常晚上八点以后或者周末在做什么？这是在问你现在呃，因为八点钟之后基本下班了，上班嘛，你是没办法被996福报了，对吧？下班以后你有自由了，你在干什么？周末在干什么？那么这个问题的变体还有什么呀？哎，你经常最近读了什么书啊？也是在看你的成就感和驱动力。但是这个问题它就比较有一个前提，就是你得爱读书，
[XP-T-004#P034] 有人说我根本都不爱读书，这问题也失效了，然后现在还有什么叫这个痕迹识人，看你朋友圈，看你过去，但是你别做三天可见啊，看你过去半年，看看你经常发什么？大概也能看出你到底是什么方式去驱动你的，然后最后还有关于未来的不给自己设限，假如你足够能力，你擅长做那些事儿，这实际就在被避免内向型陷阱，大家经常说哎呀，我不行啊，
[XP-T-004#P035] 这个外部有挑战，我这做做做会被别人否定。需要做成这个事儿，需要很多，我们先把这些限制性条件全部拿掉，假如你努力，你觉得你可以擅长做什么？这三个问题你照样现在可以摁一下暂停键，认真的响五分钟，注意响足五分钟啊，你设个闹铃响足五分钟。看看你有什么答案，我允许你在这五分钟结束之后，纸上一个字都不写，可以没有答案，
[XP-T-004#P036] 可以没问题，但你给我想足五分钟，我相信你对这个才干，到底是什么和你擅长的事情是什么？又会有一个不同角度的理解OK，这是我再给你用一套面试的方式去看你的这个优秀的地方。

[XP-T-004#P038] 好，我们接着再来看另外一套方法来帮助大家发现这个才干啊，还有包括这个优势，假如说你前面刚才三个问题，还有包括我擅长什么三个问题，那纸上都是白纸的话，没关系。今天一定让你写出来东西是吧？第四个给大家的这个呀，叫做霍兰德职业兴趣测试啊，这个呢，大家照样是可以在网上去找这个调查问卷去做的。有些是需要付费啊，会给你生成个报告，有的可能不是那么全的，可能免费的，
[XP-T-004#P039] 但我觉得也是点儿小钱花一花也没问题，关键是要了解到自己的才干啊，那我先把这个霍兰德模型我解释一下，因为后面我们还会用到霍兰德模型去谈很多的问题，首先。全等霍乱的模型先做了一个简单的二元分类，就是你到底是喜欢跟事儿接触，还是喜欢跟人接触？你现在可以先想一下你，比如夏老师，夏老师还是比较偏向跟事儿接触，实话实说，你别看我在直播间跟大家答疑啊什么之类的，我更喜欢。在事儿上，
[XP-T-004#P040] 这个专注一些啊，因为你看这个直播答疑，有的时候话不投机半句多啊，我就不像肖老师，肖老师是遇到什么人，他都贼和蔼可亲，我一遇到跟我不是一路人，我就有有的时候容易炸毛，对吧，所以明显我这样的人就不太。跟肖老师相比，就不太擅长与人接触哈，对就比较擅长事儿啊，这是这一类的区分啊，你可以想想你的答案，
[XP-T-004#P041] 那么另外一个维度呢，你要看你自己是偏向行动型的。还是偏向思考型的啊，行动型就是唉，这事儿在我面前，我把它做了，那思考型呢，就是我得想啊，我要想，而且我很喜欢想，这叫思考型的夏老师呢？嗯，以前做公司那没办法，对吧？行动行动再行动，
[XP-T-004#P042] 但本质上呢，可能我更多也比较偏向于想啊，因为你看我像我做这些课呀什么之类的。虽然他到最后课做出来是要有行动的，对吧？但是呢，他也需要你长期的这种思考积累，才能有一些系统性想法的沉淀好，那么假如说你已经按照这种的方式去对自己进行了一个归类，你会发现呢？霍兰德把人呢，总共分成了六类。六种类型，这六种类型分别是在最远端的，如果你只希望行动，
[XP-T-004#P043] 哎，我我认为这样的人生是最快乐的，那你叫做行动性或者叫传统性，传统性这一类人群呢？你会发现在哪儿特别多，就是我们说的劳动力大军，他不太想别的，我做这个工作有什么意义啊啊，我怎么把它做好啊，不愿意想想了，反而还头疼哎，你告诉我做什么我就做，然后你给我工资这一类。传统性在这里，
[XP-T-004#P044] 大家一定记住啊，我们不分这个高下之分，他在思考他就牛逼，没有我们只是把人分成不同类型，以后我们要去做匹配，对吧？那么第二类呢？你会发现他喜欢呃以事作为维度，与此同时呢，他也兼有行为。行动性哎，这类人呢，叫实际性典型做什么职业会特别匹配他呢？比如说工程师，比如说技术人员啊，
[XP-T-004#P045] 甚至说比如说这个霍兰德摩星，因为他们是在这个英美国家做啊，他们就是说比如说这个水管工。司机，外科医生都属于实际性，他偏向事，而且呢，他要做行动OK，这就叫实际性，还有一类呢，是偏向事儿，但是他喜欢思考这类人呢，叫研究型。教授，老师，
[XP-T-004#P046] 研究员搞科研的啊，研究型，然后很极端，我就想思考这个世界跟我没有什么太大的关系，我不想有什么行动，我就是思考啊，这叫艺术性，那哲学家。艺术家，诗人，所以你会发现霍兰德这个模式，如果从社会学的角度看也很有意思，劳动型的这种所谓的传统型的人就是偏向这一端的传统型人。他们是社会的发展的底层动力，就是我们讲的劳动人民，
[XP-T-004#P047] 对吧？而这个思想型的呢？或者艺术型的，我们讲究它是前瞻性的，艺术型的，他自己是活不下去的。他得需要爱的供养啊，整个社会来供养他，对吧？爱的供养，那哲学家写本书，那咱得读啊，读不懂咱那还得装啊，就是哎，这写的好，
[XP-T-004#P048] 这是艺术性，它是在引领社会的。而传统型是推进社会的中间呢，有实际型，有研究型，相当于做的一定的过渡，对吧？那么假如说你又偏行动，然后又愿意跟人打交道，这个叫企业型，你比如肖老师是典型的企业型，行动力非常强。跟人打交道，他也很愿意，企业性那么还有一类就是他喜欢思考，
[XP-T-004#P049] 然后呢，又喜欢跟人打交道，注意思考，并不是孤独的啊，大家一讲完这人思考性格比较孤僻，而且呢，这个处相那是艺术型。它不能算是社会型，艺术型和社会型，就思考和人之间还是会有一个过渡形态，叫社会型啊，社会型就是哎很so对吧，张罗大家弄个什么事儿啊呃，去做一个团建啊啊，搞个聚会啊啊，
[XP-T-004#P050] 弄个论坛啊。哎，这些社会性，所以呢，你看一看你自己这六种类型，两个极端传统型，艺术型，然后四个这个过渡形态，实际型，企业型，研究型，社会型。你觉得你是哪类啊？你可以摁个暂停，然后把自己标出来，
[XP-T-004#P051] 当然你也可以做霍兰德测试，这个会测的更准一些，那么一旦确定了以后，记住霍兰德模型当中有一个非常重要的理论叫做。相邻类型可以转换相对类型比较难转换，什么意思呢？假如我夏老师对自己的定义，我觉得我是研究型，可能更多一些的人，你会发现我做企业就非常困难，为什么它是相对的？它是一套相对模式研究型，企业型相对，因为我喜欢的是事儿和思考，但是你让我人和行动，
[XP-T-004#P052] 我差一些，当然呢，在企业里我也工作了那么久，对不对？做企业啊，做管理啊，做leader就做了那么久，也被逼的在那方面做了很多的调整，坦率的说，但你说我本性呢，我的本性还是在研究型这件事上。所以在去年，也就是2021年12月份，我和肖云老师我们一起合体啊，开始打算未来5到10年一起携手组CP开始往下走。
[XP-T-004#P053] 我瞬间感觉轻松万分，肩上的万军重担直接就甩给老肖了，我就可以做我擅长的事儿啊，为什么？因为老肖是企业型，所以大家有没有发现一点未来？你假如说你要创业，你最好找合伙人的时候要找对角线的，为什么？因为。你很难转过去啊，你需要有人帮你补你的短，你去发挥你的长板，恰好那边儿也是他的长板，他的短板有可能是他自己也补不了的，
[XP-T-004#P054] 那两个拼在一起就是双剑合璧，天下无敌了，对吧？所以呢，对角线比较难转啊，你也。一个社会型的人，天天思考，哎，大家怎么迎来送往？你发现他真干不动，对吧？所以一个企业当中，比如说搞这种商务拓展的，
[XP-T-004#P055] 搞这个business development，简称BD的岗位的。你让他去做具体的，比如说像销售，他做不动，虽然大家总觉得销售这个是不是他得跟人有关啊？你看是哪类销售，如果是toc的销售，他可能需要跟人打交道，但是如果他是tob的销售，很多的时候他是跟专业有关的。比如说我专业上要做一个类似举个例子，叫销售工程师啊，大家可能听过这个岗位就是一些卖ERP啊什么的，你卖过去了，
[XP-T-004#P056] 你企业落地，这时候你得有专业技术的人员跟进，然后慢慢慢做专业技术的人员也会卖东西了。那他就变成了实际型的，这种工程师，所以你也会发现在公司里有两类人，有的时候他说不到一起去啊，哪类人说不到一起去呢，你比如说这个做行政的，他典型的社会型，但是你看他跟研发团队，他聊不到一起去，因为研发团队是什么？是事儿加行动的啊，这是对角线啊，
[XP-T-004#P057] 所以对角线的这个它是比较难以转换的，但是相邻的可以转换，什么意思呢？你看一下。假设夏老师是研究型，你让我每天坐在那儿思考，啥也不干啊，写点儿诗，写点儿小说，我可以我不排斥，对吧？然后你说夏老师能不能具体的这个去做一个什么东西出来也行，我也没问题啊，我也能干。反过来你比如说问问老肖，
[XP-T-004#P058] 说老肖你这个你作为企业型的这个人格儿啊，你能不能现在只听指令，天天就像打螺丝那工作去做，老肖肯定能忍受，然后你让他说唉，你能不能弄点儿社会型的，搞个论坛啥，老肖绝对也没问题。OK，所以叫做相邻可以转换，但是相对特别难转换，因此我们要注意一件什么事情呢？就是说我们在进行自己职业规划匹配的过程当中，最怕一件事情是你是霍兰德模型当中的那一一类。但是你的工作恰好是你的对角线，
[XP-T-004#P059] 这件事情就特别蛋疼了，所以要做好匹配，否则就特别难受，看看这个霍兰德模型有没有帮助大家找到可能你所在的象限啊，如果你没有。往上去做一做也行啊，那我们再进行第五类，第五类呢，就偏生涯规划了，我们在最后的一个章节第12讲，我们会去讲生涯规划啊，现在还是职业规划就是我们。采用一个更为开脑洞的方式来帮你去思考你的职业规划，你的才干到底是什么？你的职场优势是什么？
[XP-T-004#P060] 对吧？你可以问这样一个问题，叫你到底想成为什么样的一个人，把这个问题当成一个大问题，每六个月回答一次。每六个月回答一次，而且写下来，而且存下来，我告诉你，你坚持2到3年，你突然发现你的职场之路会走的比一般人顺太多，因为这个问题很少有人问你到底想成为一个。怎么样的人？那好，我们怎么来回答这个问题也有方法，
[XP-T-004#P061] 第一个找一个具体的榜样，不要抽象的想是吧，否则要变成幼儿园的这个问题了，你未未来以后想干嘛？我想当科学家，我想当宇航员，我想当大老板no no no，咱找具体的榜样，第一个叫大榜样，我想成为。张一鸣，我想成谁谁谁可以大榜样，这个人不需要你认识，但是你可以知道第二类叫身边的榜样也很重要。身边的榜样有什么特点，
[XP-T-004#P062] 你能近距离的看他，你能跟他去学，你能跟他交流，你能跟他去请教大榜样有什么特点，媒体上对他的曝光细节。信息是比较全面的，而且有其他的人来分析他为什么能成，你也可以借鉴，所以既要有大榜样，也要有身边的榜样。你现在可以去想一想，他们分别是谁？你和他是一类人吗？注意这个问题非常关键，这个时候我我我想当这个大老板啊，
[XP-T-004#P063] 大老板我想的是这个。马云说你跟他是一类人吗啊，你看过马云那么多采访别人对他分析，你觉得你跟他是一类人。人嘛，如果不是一类人，请你倒回去重新找一下，为什么？因为都不是一类人了，你怎么可能成为他，所以在这点上一定要问清楚你跟他是一类人吗？最好找到的是你跟他是一类人，比如说马云，他就是能讲旁征博引煽动力非常强。如果你是这样的人，
[XP-T-004#P064] 朝这个方向努力，如果你不是，你会发现我靠，你想成为马云这样的人，之前你还要先去练演讲能力，何必呢，有些东西不是说你想练你就能练成的，放到霍兰德的这个模式里，假如你是个研究型的人。你未必那么擅长跟人打交道，对吧？所以在这件事情上，你一定要明白，拿优势去做，你跟他是一类人吗？
[XP-T-004#P065] 对吧？好，再往下他身上到底有什么特质吸引了你，这实际回答什么叫关键学习点？大家以后面试的时候，这些都可以用，如果你看一个新来的人啊，你要面试，你要分析他是什么样的人，你就可以说哎，你有没有职场的榜样啊？他是什么样的人啊？他身上到底有什么特质吸引了你？你注意。当他把那个特质说出来的时候，
[XP-T-004#P066] 恰好这个就是他内在的推动力啊，人家讲说马云特别有感染力，那我想问你他什么？他是不是特别想成为有感染力的人？有影响力的人？对吧，你可以问他到底有什么特质吸引了你好再来往下他的职业路径是如何的，他先干了什么后干了什么，为什么呢？因为我们不仅要了解终点的样子，我们要看他是怎么走过去的。他的职业路径如何？很多人想当马云一看，马云的职业路径除了几年在杭州师范大学当老师以外，基本上四个字概括叫不务正业。
[XP-T-004#P067] 但是呢，他的专业技术不赖，因为他在这个杭州师范大学当老师的时候，他讲课非常好，但是从此之后不务正业，连续创业，屡战屡败，但屡败屡战背后透露着什么非常坚韧的品格，所以你可以看到他职业路径是什么样的？对吧，第五个我能对标他的职业路径吗？对标是一个特别重要的思考方式，大家如果还记得我们在。之前的12讲啊，讲这个沟通的时候，
[XP-T-004#P068] 我们会说我们定目标的时候，有的时候要学会去对标，对吧？对标很重要，我不行，难道我学还不行吗？他的职业路径是什么样的？我照着抛啊，我照着它去copy不行吗？当然可以的。所以要有个对标感，因此你会发现身边的这个榜样，它的一个好处是在于你能够不仅自己去猜它是怎么来的，你可以去问它是怎么走的，在外企现在中国很多私企大厂也在学。
[XP-T-004#P069] 其中有一个他们做的项目叫mentor program，什么叫mentor呢？中文的翻译就叫导师，但是它不是那个硕士论文，博士论文的导师，那个导师翻英文应该翻叫supervisor，这个翻译叫mentor mentor，其实最早是来自于英国大学的这个学院里面。有叫mentor的他干嘛？他不是仅仅辅导学生学习的，他有点儿类似于咱们现在的辅导员儿，是作为呃之前的过来人哎，给他提一些第三方建议的人，这个叫mentor。所以外企经常是什么呢？
[XP-T-004#P070] 你有一个领导唉，但是公司想培养你的时候还会再给你找一个mentor，这个人跟你可能根本不是一个部门的，但是唉，他的职业经验很丰富，他能给你一些第三方的完全没有。没有这个功利的一些建议，这个叫mentor，所以你其实可以用身边的榜样作为你的mentor去不断的问。他的职业路径是如何的？我能对标他的职业路径吗？我告诉大家，在职场这件事情上，你如果能选一个特别好的mentor，注意不是leader，
[XP-T-004#P071] 是mentor。你会发现你的职场道路会少摔很多很多个坑，你的职业路径会加速的非常快，所以一定要学会去找mentor。而什么样的人适合当mentor你身边的那个你想成为的人，那么第一讲我们大概就讲这么多，我们总共呢是用了12344套方法来帮助你回答一个问题，就是你的才干是什么？找到了才干之后。之后我们才好去投入，这样才能形成职场优势，有了优势什么都好办，大家说，哎，这个职场沟通很麻烦，
[XP-T-004#P072] 不麻烦你有了优势，你沟通起来就特别简单，那我跳槽不知道怎么跳，你有了优势，你跳的都特别简单，我讲职业发展，讲知识。我最不喜欢把简单问题复杂化，我要把所有问题简单化，就是只要有了优势，什么都好办，而优势的前提就是你把你的才干找到，因为只要你把才干找到，傻瓜都知道应该在这个上面大量的投入时间和精力把它。翠炼出来对吧？
[XP-T-004#P073] 这样的话，工作你也能找你喜欢干的时间，你也能花在上面，最终的结果一定不会差，这样就回答了前面开篇我说的两个现在职场最大的困境就是很多问题都可以放到这两个困境里，第一个我不知道我喜欢和擅长。干什么？第二，我觉得我现在在浪费时间，这些时间我没有用好，所以这是第一课给各位讲的，感谢各位的收看，我们之后讲第二课叫试炼的心态，主要就是我觉得这是我的才干。我怎么去确定它OK，

[XP-T-004#P075] hello各位朋友大家好，我是夏鹏，我们今天接着来讲职场的规划的12讲的第二讲试炼的心态，我们一开始呢，先讨论一个话题叫什么叫做试炼，这是一个非常重要的词，有一本书叫禅宇摩托车维修技术，这本书当中呢，核心在谈一个概念，就是人生就是一场。试炼以前，我们经常会讲说修炼，然后有的时候我们还会去讲叫实践啊，我更喜欢用这两个字，因为这两个字我觉得实际更直白，一个就是试，
[XP-T-004#P076] 一个就是练试和练的目的呢。主要强调的并不是去取得完美的一个结果，而是要通过去做这件事情，不断找到如何正确做这件事情的方法。OK，这个叫试炼，因此呢，我们今天会讲一个特别重要的思考模式，叫MVP的产品开发和。瀑布式开发，我想呢，咱们的听众当中，如果有产品经理，应该大概明白我说的什么意思？MVP开发呢，
[XP-T-004#P077] 它表示的意思叫最小可实践性产品。而瀑布开发呢，就是我想完，然后我一口气做完瀑布式开发是有巨大的问题的，因为瀑布式在开发的过程当中是完全没有校验，没有试炼，完全凭着想法在做，一旦做完之后可能一投入市场，或者说一交付给对象，大家会发现这个。东西没法用，这个就是瀑布式开发的一个问题，而最小可实现产品的开发过程是边做边改，而且是先做后改，也就是我知道我不完美，
[XP-T-004#P078] 但是我要不断的行动，在行动当中一点一点做完美。那么，它的一个最大的好处是什么？是省时省力，注意MVP是特别容易让你不犯大错的方式。假设啊，我们现在做两个产品，或者做一个产品，两种开发模式，第一种呢，就做一辆汽车，第一种做法呢，是我先弄一个。最差的车的模型，
[XP-T-004#P079] 比如说四个轮子弄出来，然后把人放在上面，说你开第二种呢，是我觉得人们应该是有这样的一个车，然后花了五年做完。结果我发现，要么我做完了，人家早开上车了，要么是人家一上午这个车指出了一堆毛病啊，不喜欢我这个车，那么在这个过程当中，你就会发现瀑布式开发时间也花进去了，钱也花进去了，但是由于从来没有验证过，我都不知道哪里错，
