original,normalized,confidence,occurrences,note
如无必要物增食体,如无必要，勿增实体,high,1,奥卡姆剃刀
如无必要物增实体,如无必要，勿增实体,high,1,奥卡姆剃刀
如无必要物证实体,如无必要，勿增实体,high,1,奥卡姆剃刀
如无必要物证试题,如无必要，勿增实体,high,1,奥卡姆剃刀
奥卡姆提刀,奥卡姆剃刀,high,1,术语统一
奥卡姆提岛,奥卡姆剃刀,high,1,术语统一
奥卡姆提到,奥卡姆剃刀,high,2,术语统一
怒怒症,路怒症,high,1,术语
同秀位,铜臭味,high,1,口语转写
互上一个周期,上一个周期,high,1,口语转写
一个木的后面,一个幕的后面,high,1,无知之幕
无知之木,无知之幕,high,1,术语
维特跟斯坦,维特根斯坦,high,1,人名
有林的,友邻的,high,1,品牌名
有灵的,友邻的,high,2,品牌名
情绪共。,情绪共舞。,high,1,断句
滚单,关单,high,2,销售术语
1定要,一定要,high,1,数字转写
单向力,单向历,high,5,产品名
lion a,李欧娜,high,1,学员名统一
刘娜,李欧娜,high,2,学员名统一
luna同学,李欧娜同学,high,1,学员名统一
是不是升值,是不是升职,high,1,职场术语
同柴呀,同侪,high,1,术语
铜柴呀,同侪,high,1,术语
同柴啊,同侪啊,high,1,术语
化学分析,话语分析,high,1,术语统一
喧嚣情绪,宣泄情绪,high,1,术语
裴宝银,陪跑营,high,2,产品名
裴宝仪,陪跑营,high,1,产品名
领导队,领导对,high,1,断句
甲最关键,假最关键,high,1,「假设」用字
